GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_PTS,HOME_WL,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,HOME_TEAM_WINS,home_last10_win_pct,away_last10_win_pct,last10_win_pct_diff,home_last10_opponent_avg_win_pct,away_last10_opponent_avg_win_pct,last10_opponent_avg_win_pct_diff,home_last10_adjusted,away_last10_adjusted,last10_adjusted_diff,home_last10_home_win_pct,away_last10_away_win_pct,home_away_form_diff
22200003,2022-10-19,2022-23,1610612765,Detroit Pistons,113,W,1610612753,Orlando Magic,109,L,1,0.0,0.8,-0.8,0.625,0.6,0.025000000000000022,0.125,0.9,-0.775,0.0,0.6666666666666666,-0.6666666666666666
22200004,2022-10-19,2022-23,1610612754,Indiana Pacers,107,L,1610612764,Washington Wizards,114,W,0,0.5,0.25,0.25,0.6666666666666666,0.5416666666666666,0.125,0.6666666666666666,0.29166666666666663,0.375,0.5,0.3333333333333333,0.16666666666666669
22200005,2022-10-19,2022-23,1610612737,Atlanta Hawks,117,W,1610612745,Houston Rockets,107,L,1,0.5,0.75,-0.25,0.1875,0.7083333333333333,-0.5208333333333333,0.1875,0.9583333333333333,-0.7708333333333333,1.0,0.5,0.5
22200006,2022-10-19,2022-23,1610612751,Brooklyn Nets,108,L,1610612740,New Orleans Pelicans,130,W,0,0.5,0.8,-0.30000000000000004,0.375,0.3833333333333333,-0.008333333333333304,0.375,0.6833333333333333,-0.30833333333333335,0.0,0.6666666666666666,-0.6666666666666666
22200007,2022-10-19,2022-23,1610612748,Miami Heat,108,L,1610612741,Chicago Bulls,116,W,0,0.8,0.75,0.050000000000000044,0.7,0.29166666666666663,0.4083333333333333,1.0,0.5416666666666666,0.45833333333333337,0.6666666666666666,1.0,-0.33333333333333337
22200008,2022-10-19,2022-23,1610612761,Toronto Raptors,108,W,1610612739,Cleveland Cavaliers,105,L,1,0.6,0.25,0.35,0.7333333333333333,0.9375,-0.20416666666666672,0.8333333333333333,0.6875,0.14583333333333326,0.6666666666666666,0.0,0.6666666666666666
22200009,2022-10-19,2022-23,1610612763,Memphis Grizzlies,115,W,1610612752,New York Knicks,112,L,1,0.6,0.75,-0.15000000000000002,0.4333333333333333,0.5833333333333334,-0.15000000000000008,0.5333333333333332,0.8333333333333334,-0.30000000000000016,0.5,0.0,0.5
22200010,2022-10-19,2022-23,1610612750,Minnesota Timberwolves,115,W,1610612760,Oklahoma City Thunder,108,L,1,0.8,0.75,0.050000000000000044,0.4166666666666667,0.3125,0.10416666666666669,0.7166666666666668,0.5625,0.15416666666666679,0.0,1.0,-1.0
22200011,2022-10-19,2022-23,1610612759,San Antonio Spurs,102,L,1610612766,Charlotte Hornets,129,W,0,0.2,0.0,0.2,0.5333333333333333,0.5,0.033333333333333326,0.23333333333333334,0.0,0.23333333333333334,0.0,0.0,0.0
22200012,2022-10-19,2022-23,1610612762,Utah Jazz,123,W,1610612743,Denver Nuggets,102,L,1,0.25,0.6,-0.35,0.25,0.55,-0.30000000000000004,0.0,0.65,-0.65,0.0,0.6666666666666666,-0.6666666666666666
22200013,2022-10-19,2022-23,1610612756,Phoenix Suns,107,W,1610612742,Dallas Mavericks,105,L,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0.611111111111111,-0.27777777777777773,0.16666666666666663,0.7777777777777777,-0.611111111111111,0.0,1.0,-1.0
22200014,2022-10-19,2022-23,1610612758,Sacramento Kings,108,L,1610612757,Portland Trail Blazers,115,W,0,1.0,0.0,1.0,0.3,0.5416666666666666,-0.24166666666666664,0.8,0.04166666666666663,0.7583333333333334,1.0,0.0,1.0
22200015,2022-10-20,2022-23,1610612755,Philadelphia 76ers,88,L,1610612749,Milwaukee Bucks,90,W,0,0.8,0.0,0.8,0.3,0.5333333333333333,-0.23333333333333334,0.6000000000000001,0.033333333333333326,0.5666666666666668,1.0,0.0,1.0
22200016,2022-10-20,2022-23,1610612747,Los Angeles Lakers,97,L,1610612746,LA Clippers,103,W,0,0.14285714285714285,0.3333333333333333,-0.19047619047619047,0.7999999999999999,0.611111111111111,0.18888888888888888,0.4428571428571428,0.44444444444444436,-0.0015873015873015817,0.0,0.5,-0.5
22200017,2022-10-21,2022-23,1610612766,Charlotte Hornets,112,L,1610612740,New Orleans Pelicans,124,W,0,0.16666666666666666,0.8333333333333334,-0.6666666666666667,0.45,0.40277777777777773,0.047222222222222276,0.11666666666666667,0.7361111111111112,-0.6194444444444445,0.0,0.75,-0.75
22200018,2022-10-21,2022-23,1610612754,Indiana Pacers,134,L,1610612759,San Antonio Spurs,137,W,0,0.4,0.16666666666666666,0.23333333333333336,0.5833333333333333,0.4444444444444444,0.13888888888888884,0.4833333333333333,0.11111111111111108,0.37222222222222223,0.3333333333333333,0.5,-0.16666666666666669
22200019,2022-10-21,2022-23,1610612764,Washington Wizards,102,W,1610612741,Chicago Bulls,100,L,1,0.4,0.8,-0.4,0.5333333333333333,0.39333333333333337,0.13999999999999996,0.43333333333333335,0.6933333333333334,-0.26,0.0,1.0,-1.0
22200020,2022-10-21,2022-23,1610612737,Atlanta Hawks,108,W,1610612753,Orlando Magic,98,L,1,0.6,0.6666666666666666,-0.06666666666666665,0.3,0.5,-0.2,0.39999999999999997,0.6666666666666666,-0.26666666666666666,1.0,0.5,0.5
22200021,2022-10-21,2022-23,1610612751,Brooklyn Nets,109,W,1610612761,Toronto Raptors,105,L,1,0.4,0.6666666666666666,-0.2666666666666666,0.45999999999999996,0.6527777777777778,-0.19277777777777783,0.36,0.8194444444444444,-0.45944444444444443,0.0,0.5,-0.5
22200022,2022-10-21,2022-23,1610612748,Miami Heat,104,L,1610612738,Boston Celtics,111,W,0,0.6666666666666666,0.6,0.06666666666666665,0.7083333333333334,0.6,0.10833333333333339,0.875,0.7,0.17500000000000004,0.5,0.5,0.0
22200023,2022-10-21,2022-23,1610612752,New York Knicks,130,W,1610612765,Detroit Pistons,106,L,1,0.6,0.2,0.39999999999999997,0.5866666666666667,0.6599999999999999,-0.07333333333333325,0.6866666666666666,0.35999999999999993,0.3266666666666667,1.0,0.0,1.0
22200024,2022-10-21,2022-23,1610612745,Houston Rockets,122,L,1610612763,Memphis Grizzlies,129,W,0,0.6,0.6666666666666666,-0.06666666666666665,0.6666666666666666,0.4861111111111111,0.18055555555555552,0.7666666666666666,0.6527777777777777,0.11388888888888893,1.0,0.6666666666666666,0.33333333333333337
22200025,2022-10-21,2022-23,1610612750,Minnesota Timberwolves,126,L,1610612762,Utah Jazz,132,W,0,0.8333333333333334,0.4,0.43333333333333335,0.47222222222222227,0.32,0.15222222222222226,0.8055555555555556,0.22000000000000003,0.5855555555555556,0.5,0.5,0.0
22200026,2022-10-21,2022-23,1610612744,Golden State Warriors,123,L,1610612743,Denver Nuggets,128,W,0,0.6666666666666666,0.5,0.16666666666666663,0.19444444444444445,0.5,-0.3055555555555556,0.36111111111111105,0.5,-0.13888888888888895,0.6,0.5,0.09999999999999998
22200027,2022-10-21,2022-23,1610612757,Portland Trail Blazers,113,W,1610612756,Phoenix Suns,111,L,1,0.2,0.5,-0.3,0.6333333333333333,0.41666666666666663,0.21666666666666667,0.3333333333333333,0.41666666666666663,-0.08333333333333331,0.0,0.5,-0.5
22200028,2022-10-22,2022-23,1610612755,Philadelphia 76ers,105,L,1610612759,San Antonio Spurs,114,W,0,0.6666666666666666,0.2857142857142857,0.38095238095238093,0.25,0.43809523809523804,-0.18809523809523804,0.41666666666666663,0.22380952380952374,0.1928571428571429,0.6666666666666666,0.6666666666666666,0.0
22200029,2022-10-22,2022-23,1610612754,Indiana Pacers,124,W,1610612765,Detroit Pistons,115,L,1,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.513888888888889,0.65,-0.13611111111111107,0.34722222222222227,0.31666666666666665,0.030555555555555614,0.25,0.0,0.25
22200030,2022-10-22,2022-23,1610612753,Orlando Magic,120,L,1610612738,Boston Celtics,126,W,0,0.5714285714285714,0.6666666666666666,-0.09523809523809523,0.5142857142857143,0.611111111111111,-0.0968253968253967,0.5857142857142857,0.7777777777777777,-0.19206349206349194,1.0,0.6666666666666666,0.33333333333333337
22200031,2022-10-22,2022-23,1610612748,Miami Heat,112,W,1610612761,Toronto Raptors,109,L,1,0.5714285714285714,0.5714285714285714,0.0,0.6928571428571428,0.6166666666666666,0.07619047619047625,0.7642857142857142,0.688095238095238,0.07619047619047625,0.4,0.3333333333333333,0.06666666666666671
